变量名,typeSeqID,weight,group,desc,desc_tw,desc_en,desc_vn,desc_kr,choice1,choice1_tw,choice1_en,choice1_vn,choice1_kr,choice2,choice2_tw,choice2_en,choice2_vn,choice2_kr,choice3,choice3_tw,choice3_en,choice3_vn,choice3_kr,choice4,choice4_tw,choice4_en,choice4_vn,choice4_kr,answer,imgID
40,2,50,202,动画中用于给火箭队传递信息的是什么精灵？,動畫中用於給火箭隊傳遞信息的是什麽精靈？,What Pokémon are used in the animation to convey information to the Team Rocket?,404,404,信使鸟,信使鳥,Delibird,404,404,喵喵,喵喵,Meowth,404,404,猫老大,貓老大,Persian,404,404,风铃铃,風鈴鈴,Chimecho,404,404,1,
41,2,50,202,动画中火箭队的BOSS是谁？,動畫中火箭隊的BOSS是誰？,Who is the boss of the Team Rocket in the animation?,404,404,坂木,阪木,Giovanni,404,404,真鸟,真鳥,Matori,404,404,阿波罗,阿波羅,Archer,404,404,喵喵,喵喵,Meowth,404,404,1,
42,2,50,202,动画中火箭队总部曾被哪只神兽破坏过？,動畫中火箭隊總部曾被哪只神獸破壞過？,"In the animation, the Team Rocket headquarters was destroyed by which Legendary Pokémon?",404,404,超梦,超夢,Mew-two,404,404,洛奇亚,洛奇亞,Lugia,404,404,凤王,鳳王,Ho-Oh,404,404,烈空座,烈空座,Rayquaza,404,404,1,
43,2,50,202,动画中武藏的恋爱次数至少有多少次？,動畫中武藏的戀愛次數至少有多少次？,How many times did Jessie fall in love in the anime at least?,404,404,152,152,152,404,404,521,521,521,404,404,251,251,251,404,404,150,150,150,404,404,1,
44,2,50,203,动画中，熔岩队在绝大多数登场时间里都在调查哪只精灵的所在地？,動畫中，熔巖隊在絕大多數登場時間裏都在調查哪只精靈的所在地？,"In the animation, the Team Magma is investigating the location of which Pokémon most of the time?",404,404,固拉多,固拉多,Groudon,404,404,凤王,鳳王,Ho-Oh,404,404,波尔凯尼恩,波爾凱尼恩,Volcanion,404,404,炎帝,炎帝,Entei,404,404,1,
45,2,50,203,动画中，和熔岩队因为理念不同对于对立的邪恶组织是？,動畫中，和熔巖隊因為理念不同對於對立的邪惡組織是？,"In the animation, who is the opponent of the evil organization Team magma because of different concepts?",404,404,海洋队,海洋隊,Team Aqua,404,404,火箭队,火箭隊,Team Rocket,404,404,银河队,銀河隊,Team Galactic,404,404,等离子队,等離子隊,Team Plasma,404,404,1,
46,2,50,203,动画中，以下哪只邪恶组织因为特殊原因没有在播出的动画中出现过？,動畫中，以下哪只邪惡組織因為特殊原因沒有在播出的動畫中出現過？,"In the animation, which of the following evil organizations did not appear in the broadcast animation due to special reasons?",404,404,等离子队,等離子隊,Team Plasma,404,404,海洋队,海洋隊,Team Aqua,404,404,骷髅队,骷髏隊,Team Skull,404,404,闪焰队,閃焰隊,Team Flare,404,404,1,
47,2,50,203,动画中，闪焰队到处寻找并研究的精灵是以下哪一只？,動畫中，閃焰隊到處尋找並研究的精靈是以下哪一只？,"In the animation, which one of the following Pokémon is Team Flare looking for and researching?",404,404,基格尔德,基格爾德,Zygarde,404,404,伊裴尔塔尔,伊裴爾塔爾,Yveltal,404,404,哲尔尼亚斯,哲爾尼亞斯,Xerneas,404,404,音波龙,音波龍,Noivern,404,404,1,
48,2,50,204,除了以下哪只精灵，其他精灵都只在动画中出现过？,除了以下哪只精靈，其他精靈都只在動畫中出現過？,"Except for which of the following Pokémon, other Pokémon have only appeared in the animation?",404,404,闪光耿鬼,閃光耿鬼,Shiny Gengar,404,404,水晶大岩蛇,水晶大巖蛇,Crystal Onix,404,404,雪人卡比兽,雪人卡比獸,Snowman Snorlax,404,404,黄金树才怪,黃金樹才怪,Golden Sudowoodo,404,404,1,
49,2,50,205,剧场版动画【水都的守护神 拉帝亚斯与拉帝欧斯】中，小霞使用的水系精灵是什么？,劇場版動畫【水都的守護神 拉帝亞斯與拉帝歐斯】中，小霞使用的水系精靈是什麽？,"In movie [Pokémon Heroes - Latios and Latias], what is the water Pokémon used by Misty?",404,404,太阳珊瑚,太陽珊瑚,Corsola,404,404,蚊香泳士,蚊香泳士,Poliwrath,404,404,暴鲤龙,暴鯉龍,Gyarados,404,404,宝石海星,寶石海星,Starmie,404,404,1,
50,2,50,205,剧场版动画【精灵巡护员与苍海的王子】中玛纳霏曾认定谁是妈妈？,劇場版動畫【精靈巡護員與蒼海的王子】中瑪納霏曾認定誰是媽媽？,"In movie [Pokémon Ranger and the Temple of the Sea], who did Manaphy think is his mother?",404,404,小遥,小遙,May,404,404,小霞,小霞,Misty,404,404,小光,小光,Dawn,404,404,小胜,小勝,Max,404,404,1,
51,2,50,205,剧场版动画【洛奇亚爆诞】中小智和洛奇亚掉入到冰河中，是谁跳入冰河救的小智？,劇場版動畫【洛奇亞爆誕】中小智和洛奇亞掉入到冰河中，是誰跳入冰河救的小智？,"In movie [Pokémon the Movie 2000: The Power of One], Ash and Lugia fell into the ice river, who was the one who saved Ash and jumping into the ice river?",404,404,小霞,小霞,Misty,404,404,小刚,小剛,Brock,404,404,芙罗拉,芙羅拉,Melody,404,404,小茂,小茂,Gary Oak,404,404,1,
52,2,50,205,剧场版动画【骑拉帝纳与冰空的花束】中，骑拉帝纳追踪帝牙卢卡的原因是什么？,劇場版動畫【騎拉帝納與冰空的花束】中，騎拉帝納追蹤帝牙盧卡的原因是什麽？,"In the movie [Giratina and the Sky Warrior], what is the reason Giratina is tracking Dialga?",404,404,因为反转世界受到了污染,因為反轉世界受到了汙染,Because the Reverse World is polluted,404,404,因为以往的恩怨,因為以往的恩怨,Because of past grudges,404,404,因为都有时空穿梭的能力,因為都有時空穿梭的能力,Because they have the ability to travel through time and space,404,404,夺回帝牙卢卡身上的某些物品,奪回帝牙盧卡身上的某些物品,Retake certain items from Dialga,404,404,1,
53,2,50,205,剧场版动画【阿尔宙斯 超克的时空】在谁的帮助下小智一行人穿越时空？,劇場版動畫【阿爾宙斯 超克的時空】在誰的幫助下小智一行人穿越時空？,In mive [Arceus and the Jewel of Life] Ash and his party travel through time and space under whose help?,404,404,帝牙卢卡,帝牙盧卡,Dialga,404,404,帕路奇亚,帕路奇亞,Palkia,404,404,骑拉帝纳,騎拉帝納,Giratina,404,404,阿尔宙斯,阿爾宙斯,Arceus,404,404,1,
54,2,50,205,剧场版动画【幻影的霸者 索罗亚克】中，哪几只神兽在街道上暴走？,劇場版動畫【幻影的霸者 索羅亞克】中，哪幾只神獸在街道上暴走？,"In movie [Zoroark: Master of Illusions], which legendary Pokémon is raging on the streets?",404,404,雷公，炎帝，水君,雷公，炎帝，水君,"Raikou, Entei, Suicune",404,404,火焰鸟，闪电鸟，急冻鸟,火焰鳥，閃電鳥，急凍鳥,"Moltres, Zapdos, Articuno",404,404,雷吉洛克，雷吉斯奇鲁，雷吉艾斯,雷吉洛克，雷吉斯奇魯，雷吉艾斯,"Regirock, Registeel, Regice",404,404,帝牙卢卡，帕路奇亚，骑拉帝纳,帝牙盧卡，帕路奇亞，騎拉帝納,"Dialga, Palkia, Giratina",404,404,1,
55,2,50,205,大电影【名侦探皮卡丘】中，没有出现过的精灵是哪一只？,大電影【名偵探皮卡丘】中，沒有出現過的精靈是哪一只？,"In movie [Detective Pikachu], which Pokémon did not appeared ?",404,404,暴雪王,暴雪王,Abomasnow,404,404,爆炸头水牛,爆炸頭水牛,Bouffalant,404,404,利欧路,利歐路,Riolu,404,404,魔墙人偶,魔墻人偶,Mr. Mime,404,404,1,
56,2,50,205,剧场版动画【超梦的逆袭:进化】在日本上映于哪一年？,劇場版動畫【超夢的逆襲:進化】在日本上映於哪一年？,Which year did movie [Mewtwo Strikes Back: Evolution] been released in Japan?,404,404,2019,2019,2019,404,404,2020,2020,2020,404,404,1998,1998,1998,404,404,2018,2018,2018,404,404,1,
57,2,50,205,剧场版动画【就决定是你了!】中，在小智受到冲击波攻击倒地之后，皮卡丘开口说了一句什么话，令人感动落泪？,劇場版動畫【就決定是你了!】中，在小智受到沖擊波攻擊倒地之後，皮卡丘開口說了一句什麽話，令人感動落淚？,"In movie [Pokémon the Movie: I Choose You! ], after Ash fell to the ground by shock wave, what did Pikachu say that touched people to tears?",404,404,""",因为...因为...想一直...在一起""",",因為...因為...想一直...在一起","""Because...because...want to stay...together""",404,404,"""再...见~""",再...見~,"""Goodbye... See you~""",404,404,"""约..定好了，再见~""",約..定好了，再見~,"""The appointment... is set, goodbye~""",404,404,"""十万伏特!""",十萬伏特!,“Thunderbolt!”,404,404,1,
58,2,50,205,剧场版动画【裂空的访问者 代欧奇希斯】中，哪个城市系统的瘫痪导致了精灵球管理系统的瘫痪，使得所有人的精灵球都无法使用？,劇場版動畫【裂空的訪問者 代歐奇希斯】中，哪個城市系統的癱瘓導致了精靈球管理系統的癱瘓，使得所有人的精靈球都無法使用？,"In movie [Pokémon: Destiny Deoxys], which city system's paralysis caused the paralysis of the pokéball management system, making everyone's pokéball unusable?",404,404,拉鲁斯市,拉魯斯市,LaRousse City,404,404,赛罗斯镇,賽羅斯鎮,Cerosi Town,404,404,普里加市,普裏加市,Purika City,404,404,飞云市,飛雲市,Castelia City,404,404,1,
59,2,50,205,剧场版动画【决战时空之塔】中，出现的3只神兽精灵是？,劇場版動畫【決戰時空之塔】中，出現的3只神獸精靈是？,"In movie [Pokémon: The Rise of Darkrai], who are the 3 legendary Pokémon that appear?",404,404,帝牙卢卡 帕路奇亚 达克莱伊,帝牙盧卡 帕路奇亞 達克萊伊,"Dialga, Palkia, Darkrai",404,404,帝牙卢卡 帕路奇亚 骑拉帝纳,帝牙盧卡 帕路奇亞 騎拉帝納,Dialga Palkia Giratina,404,404,帝牙卢卡 骑拉帝纳 达克莱伊,帝牙盧卡 騎拉帝納 達克萊伊,Dialga Giratina Darkrai,404,404,骑拉帝纳 帕路奇亚 达克莱伊,騎拉帝納 帕路奇亞 達克萊伊,"Giratina, Palkia, Darkrai",404,404,1,
60,2,20,206,本游戏中，以下哪种精灵不能作为精灵升星的材料？,本遊戲中，以下哪種精靈不能作為精靈升星的材料？,"In this game, which of the following Pokémon cannot be used as the material for Pokémon to star up?",404,404,一只已满星级的同系列精灵,一只已滿星級的同系列精靈,An Pokémon of the same series that has been full star,404,404,百变怪,百變怪,Ditto,404,404,万能碎片转化合成而来的同系列精灵,萬能碎片轉化合成而來的同系列精靈,Pokémon of same series that combined by universal shards,404,404,未培养的同系列精灵,未培養的同系列精靈,Untrained Pokémon of the same series,404,404,1,
61,2,20,206,本游戏中，满星后会开启精灵极限属性培养，以下哪个属性无法得到提升？,本遊戲中，滿星後會開啟精靈極限屬性培養，以下哪個屬性無法得到提升？,"In this game, the Pokémon's extreme attribute training will start after the full star. Which of the following status cannot be improved?",404,404,速度,速度,speed,404,404,破抵御,破抵禦,Block Break rate,404,404,暴击率,暴擊率,Crit rate,404,404,暴击抗性,暴擊抗性,Crit resist,404,404,1,
62,2,20,206,本游戏中，以下哪个系统可以免费获得到玩法特权加成？,本遊戲中，以下哪個系統可以免費獲得到玩法特權加成？,"In this game, which of the following systems can get the bonus of gameplay privileges for free?",404,404,冒险执照,冒險執照,Adventure license,404,404,vip,vip,vip,404,404,月卡,月卡,Monthly card,404,404,通行证,通行證,Passport,404,404,1,
63,2,20,206,本游戏中，以下关于道馆说法错误是哪一项？,本遊戲中，以下關於道館說法錯誤是哪一項？,"In this game, which one of the following statements about Gym is wrong?",404,404,每周的道馆日志可以永久保存,每周的道館日誌可以永久保存,The weekly gym log can be kept forever,404,404,道馆副本每周重置,道館副本每周重置,Gym dungeon will be reset every week,404,404,道馆副本难度受自身战斗力影响,道館副本難度受自身戰鬥力影響,The difficulty of Gym dungeon is affected by own CP,404,404,可以获得徽章强化材料,可以獲得徽章強化材料,Can get badge enhancement materials,404,404,1,
64,2,20,206,本游戏中，挑战冒险之路可以获得培养精灵的什么？,本遊戲中，挑戰冒險之路可以獲得培養精靈的什麽？,"In this game, what can be obtained to build Pokémon by challenging the adventure road?",404,404,努力值,努力值,Effort value,404,404,潜能,潛能,Potential,404,404,符石,符石,Runes,404,404,星级,星級,Star,404,404,1,
65,2,20,206,本游戏中，玩家vip等级达到多少后，石英大会可以每天自动报名？,本遊戲中，玩家vip等級達到多少後，石英大會可以每天自動報名？,"In this game, Indigo Conference can auto register after reaches which VIP level?",404,404,3,3,3,404,404,5,5,5,404,404,4,4,4,404,404,2,2,2,404,404,1,
